Aid,Best seed,Average,Training set results,,,,,test set results,,,,,Validation set results,,,
,,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc
131,Seed 2,0.758944,0.86536,,,,,0.739583,0.625,0.717043,0.87931,,0.721739,,,
133,Seed 1,0.768099,0.998926,,,,,0.762195,0.25,0.481001,0.792453,,0.826829,,,
137,Seed 4,0.81218,0.86841,,,,,0.72,0.4,0.392742,0.857143,,0.859504,,,
139,Seed 0,0.721159,0.999893,,,,,0.783654,0,0.124589,0.910714,,0.921769,,,
141,Seed 4,0.85777,0.992716,,,,,0.822727,0.428571,0.608282,0.87037,,0.866667,,,
143,Seed 2,0.842728,0.880998,,,,,0.851852,0.571429,0.148558,0.912281,,0.839286,,,
145,Seed 2,0.809154,0.817621,,,,,0.86553,0.818182,0.879312,0.932203,,0.73617,,,
155,Seed 4,0.713519,0.851355,,,,,0.73913,0.363636,0.244735,0.769231,,0.834146,,,
157,Seed 4,0.705996,0.753741,,,,,0.698413,0.384615,0.45201,0.865385,,0.84878,,,
161,Seed 4,0.708112,0.901512,,,,,0.704762,0.533333,0.496097,0.826923,,0.81746,,,
165,Seed 4,0.711534,0.770053,,,,,0.698413,0.4,0.460455,0.846154,,0.858537,,,
167,Seed 3,0.696843,0.941886,,,,,0.697674,0.4,0.161461,0.75,,0.874074,,,
175,Seed 1,0.659321,0.912576,,,,,0.633459,0.4,0.349007,0.634615,,0.761111,,,
328,Seed 3,0.745152,0.873684,,,,,0.772727,0.4,0.170139,0.769231,,0.714286,,,
330,Seed 4,0.81612,0.873459,,,,,0.838235,0.571429,0.25721,0.894737,,0.922581,,,
410,Seed 2,0.683697,0.685918,,,,,0.485714,0,0.275346,0.416667,,0.928571,,,
450,Seed 0,0.686247,0.825228,,,,,0.969697,0,1,0.785714,,1,,,
884,Seed 3,0.863687,0.81331,,,,,0.875,0.666667,0.532538,0.761905,,1,,,
899,Seed 2,0.455568,0.659341,,,,,0.40625,0.5,0.341288,0.666667,,0.785714,,,
1030,Seed 1,0.817537,0.998395,,,,,0.818452,0,0.489535,0.823529,,0.919355,,,
1460,Seed 3,0.617866,0.725,,,,,0.48,0.193548,0.145407,0.107143,,0.869565,,,
1578,Seed 3,0.585294,0.857308,,,,,0.54902,0,0.720139,0.85,,0.647059,,,
1813,Seed 1,0.82862,0.776389,,,,,0.833333,0,0.613095,0.913043,,0.877193,,,
1851,Seed 1,0.58619,0.661067,,,,,0.55,0.666667,0.607738,0.555556,,0.666667,,,
2275,Seed 1,0.870124,0.996809,,,,,0.92381,0.571429,0.310378,0.846154,,1,,,
2313,Seed 0,0.516704,0.941191,,,,,0.55,0,0.277157,0.862069,,0.884615,,,
2314,Seed 3,0.62197,0.780899,,,,,1,1,1,0.96,,0.826087,,,
2330,Seed 2,0.81511,0.786541,,,,,0.845679,0.631579,0.748891,0.703704,,0.97619,,,
2551,Seed 4,0.7327,0.998629,,,,,0.511905,0.666667,0.51758,0.954545,,1,,,
2732,Seed 4,0.411429,0.708529,,,,,0.533333,0,0.083333,0.875,,0.909091,,,
463190,Seed 4,0.671645,0.947609,,,,,0.675,0.333333,0.208144,0.735294,,0.683333,,,
485346,Seed 3,0.720519,0.998045,,,,,0.715556,0.285714,0.406903,0.735294,,0.839744,,,
488899,Seed 3,0.768119,0.819932,,,,,0.793103,0,0.245833,0.935484,,0.862069,,,
504332,Seed 4,0.74171,0.803156,,,,,0.716667,0,0.522125,0.878049,,0.974359,,,
504444,Seed 4,0.777015,0.982109,,,,,0.725,0,0.579221,0.896552,,0.68,,,
