TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN02603,C20H24O3,312.409,C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12
TPCN02604,C24H39NO8,469.575,COCC12CCC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C13)C4N(C)C2
TPCN02605,C22H30O7,406.475,CC(=O)OCC1(C)C2C3C=C(CO)CC4C(=O)C(C)=CC4C3(O)C(C)C(O)C21O
TPCN02606,C37H44O10,648.749,C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1
TPCN02607,C27H31NO4,433.548,C=C1C2CC3C4N5CC6(C)CC(OC(=O)c7ccccc7)CC47C6C5CC3(C1O)C7(O)C2
TPCN02608,C26H41NO8,495.613,CCN1CC2(COC)C(O)CC(O)C34C5CC6C(OC)CC(O)(C5C6OC(C)=O)C(C(OC)C23)C14
TPCN02609,C37H52O4,560.819,C=C1CCC2C(C)(C(=O)O)CCCC2(C)C1CC=C(C)C1CC2CC3C(C)(C)CCCC3(C)c3ccc(O)c(c32)O1
TPCN02610,C46H56O15,848.939,C=C1C(OC(=O)C(C)C)C(OC(C)=O)C(OC(C)=O)C(C)(C)C=CC(C)C(OC(=O)c2ccccc2)C2(O)CC(C)(OC(C)=O)C(OC(C)=O)C2C1OC(=O)c1ccccc1
TPCN02611,C23H35NO6,421.534,COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)NCCO)C(C)C3C(=O)C(O)C12
TPCN02612,C20H30O5,350.455,CC1CCC2(CO)C(CO)=CC(O)CC2C1(C)CCC1=CCOC1=O
TPCN02613,C62H104O35,1409.479,C=CC(C)(CCC=C(C)CCC=C(C)CCC=C(C)COC1OC(COC2OC(C)C(O)C(O)C2O)C(OC2OC(C)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(O)C1O
TPCN02614,C20H30O6,366.454,C=C1C(=O)C23C(O)CC4C(C)(C)CCC(O)C4(CO)C2CC(O)C1C3O
TPCN02615,C28H40O12,568.616,CC(=O)OC12C(O)C(C)C3(O)C(C=C(COC4OC(CO)C(O)C(O)C4O)CC4(O)C(=O)C(C)=CC43)C1C2(C)C
TPCN02616,C30H41NO6,511.659,COc1ccc(C(=O)OC2C(O)(CO)C3CCC24C2CC5C6(C)CCCC5(C2N(C)C6)C4C3)cc1OC
TPCN02617,C31H43NO7,541.685,C=C1CC23CC(O)C4(O)C5(C)CC(O)CC46C(C2C1C(OC(=O)C(C)=CC)C(OC(=O)C(C)=CC)C36)N(C)C5
TPCN02618,C35H49NO9,627.775,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14
TPCN02619,C35H50N2O9,642.79,CCN1CC2(COC(=O)c3ccccc3N)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC(=O)C(C)C)C(O)(C(OC)C23)C14
TPCN02620,C23H30NO4+,384.496,C=C1CC23CC4(O)C5C6(C)CC(OC(C)=O)CC57C2CC1C(=O)C3C7[N+]4(C)C6
TPCN02621,C45H65NO12,812.01,COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OC4CCC5(C)C6CCC(=CC(=O)N(C)CCO)C(C)C6C(O)C(=O)C5C4(C)C(=O)OC)C(C)C3C(O)C(=O)C12
TPCN02622,C29H43NO8,533.662,CC=C(C)C(=O)OC1CCC2(C)C3CCC(=CC(=O)N(C)CCO)C(C)C3C(O)C(=O)C2C1(C)C(=O)OC
TPCN02623,C44H63NO12,797.983,COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OC4CCC5(C)C6CCC(=CC(=O)NCCO)C(C)C6C(O)C(=O)C5C4(C)C(=O)OC)C(C)C3C(O)C(=O)C12
TPCN02624,C21H28O4,344.451,COc1c(C(C)C)cc(O)c2c1CCC1C(C)=C(C(=O)O)CCC21C
TPCN02625,C20H28O3,316.441,CC(C)C1=CC23CCC4C(C)(C)CCCC4(C2=CC1=O)C(O)O3
TPCN02626,C32H48O13,640.723,CC1OC(OC2C(OC3CCC4(C)C5=C(CCC4C3(C)C)COC(C3=CC(=O)OC3)C5)OC(CO)C(O)C2O)C(O)C(O)C1O
TPCN02627,C24H32O7,432.513,CC(=O)OCC1=CC2C3C(C)(C)C3(OC(C)=O)CC(C)C2(O)C2C=C(C)C(=O)C2(O)C1
TPCN02628,C42H48N2O14,804.846,CC(=O)OC1C(C)CC2(OC(C)=O)C1C(OC(=O)c1cccnc1)C13COC(C)(C2OC(=O)c2cccnc2)C1C1C(CC1(C)OC(C)=O)C(OC(=O)C(C)C)C3=O
TPCN02629,C20H28O2,300.442,CC(C)c1cc2c(cc1O)C1(C)CCCC(C)(C)C1CC2=O
TPCN02630,C26H32O11,520.531,CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2C2C=CC1(OC1OC(CO)C(O)C(O)C1O)C(=O)O2
TPCN02631,C27H44O11,544.638,COC(=O)C1(C)CCCC2(C)C1C(O)C(O)C13CC(CCC21)C(CO)(OC1OC(CO)C(O)C(O)C1O)C3
TPCN02632,C24H35NO5,417.546,CC(=O)OC1C2OC3N4CCOC4C4(C)CCCC3(C14)C1CC3CCC21CC3(C)O
TPCN02633,C20H28O5,348.439,C=C1C(=O)C23C(O)CC4C(C)(C)C(O)CCC4(C)C2CC(=O)C1C3O
TPCN02634,C32H45NO8,571.711,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14
TPCN02635,C35H49NO11,659.773,CCN1CC2(COC)CC(O)C(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14
TPCN02636,C20H26O3,314.425,C=C1CCC2C(C3C(C)C(=O)C4=C(C(=O)C(C)(O)C4)C13)C2(C)C
TPCN02637,C26H41NO7,479.614,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6OC(C)=O)C(C(OC)C23)C14
TPCN02638,C35H44O15,704.722,CC(=O)OC12CC(C)C3(O)C(C=C(COC4OC(COC(=O)c5cc(O)c(O)c(O)c5)C(O)C(O)C4O)CC4(O)C(=O)C(C)=CC43)C1C2(C)C
TPCN02639,C23H35NO7,437.533,CCN1CC23OC2CC(O)C24C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C32)C14
TPCN02640,C28H35NO7,497.588,COC1CC2(O)C3CC4C5(COC(=O)c6ccccc6O)C=NC3C4(C(OC)CC5)C3CC1C(O)C32
TPCN02641,C24H39NO9,485.574,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(O)C1C4(O)C(O)C2OC
TPCN02642,C23H37NO8,455.548,CCN1CC2(O)C(O)CC(O)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
TPCN02643,C24H37NO7,451.56,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC7(OCOC7(C(O)C23)C14)C5C6O
TPCN02644,C26H42O9,498.613,CC1(C(O)CO)C=C2CCC3C(C)(COC4OC(CO)C(O)C(O)C4O)CC(=O)CC3(C)C2CC1
TPCN02645,C54H90O20,1059.294,CC(=CCC(O)C(C)C1CCC2(C)C3CCC4C(C)(C)C(OC5OC(C)C(OC6OC(COC7OC(C)C(O)C(O)C7O)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(O)C5O)CCC45CC35CCC12C)CO
TPCN02646,C21H32O2,316.485,C=CC1(C)C=C2CCC3C(C)(COC=O)CCCC3(C)C2CC1
TPCN02647,C22H29NO4,371.477,C=C1C2CC3C4(CC5C6C7(C)CCCC63C(C4C2OC(C)=O)N5C7O)C1O
TPCN02648,C20H26O2,298.426,C=C1CCC2C(C3C(C)C(=O)C4=C(C(=O)C(C)C4)C13)C2(C)C
TPCN02649,C20H26O3,314.425,C=C1CCC2C(C3C(C)C(=O)C4=C(C(=O)C(C)(O)C4)C13)C2(C)C
TPCN02650,C26H34O8,474.55,CC12C(O)CC(O)C3(COC1O)C2CC(O)C1(C)C3C(=O)CC2(C)C(c3ccoc3)CC3OC321
TPCN02651,C23H36O6,408.535,COC1OC(=O)CC12CCC1(O2)C(C)CC(OC(C)=O)C2C(C)(C)CCCC21C
TPCN02652,C24H37NO6,435.561,CCN1CC2CCC(OC)C34C5CC6C(OC)CC7(OCOC7(C(O)C23)C14)C5C6OC
TPCN02653,C21H27NO2,325.452,C=C1CC23CC(=O)C4C5(C)CC(=O)CC46C(C2CC1CC36)N(C)C5
TPCN02654,C36H56O8,616.836,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O
TPCN02655,C32H45NO10,603.709,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC)C1C2OC(=O)c1ccccc1
TPCN02656,C26H44O11,532.627,CC1(O)CC23CC1CCC2C(C)(O)C1C(O)C(OC2OC(CO)C(O)C(O)C2O)C(C)(C)C1(O)C(O)C3
TPCN02657,C44H80O2,641.122,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC1(C)CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3
TPCN02658,C19H22O4,314.381,CC1=CC(=O)CC2C1CCC(C)C21CC(c2ccoc2)OC1=O
TPCN02659,C20H26O8,394.42,CC1(C(=O)O)CCCC2(C)c3c(O)cc(C(CO)CO)c(O)c3C(=O)C(O)C12
TPCN02660,C22H35NO5,393.524,CCN1CC2CCC(OC)C34C2CC(C13)C1(O)CC(OC)C2CC4(O)C1C2O
TPCN02661,C22H32O6,392.492,C=C1C2CCC3C(C4CC5C(C)(C)CCC(O)C53C(O)O4)(C1OC(C)=O)C2O
TPCN02662,C52H64O22,1041.062,CC12CC(C3=CC4OC3C3C4C4OC(=O)C3(OC3OC(CO)C(O)C(O)C3O)C3(C)CCC5C(=O)OC(c6ccoc6)CC5(C)C43)OC(=O)C1CCC1(C)C2C2C=CC1(OC1OC(CO)C(O)C(O)C1O)C(=O)O2
TPCN02663,C40H52O8,660.848,C=C1C(=O)C23CCC4C5(C)CCCC4(OC5=O)C2(C)CCC1(OC(=O)C1(O)CC24CCC5C6(C)CCCC5(OC6=O)C2(C)CCC1C4)C3
TPCN02664,C26H40O12S,576.661,CC1(C(=O)OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)CCCC2(C)C3=CCC4CC3(CCC12)CC4(O)CO
TPCN02665,C31H52O12,616.745,CC1=CCCC2C1(COC1OC(CO)C(O)C(O)C1O)CCC(C)C2(C)CCC(=CCOC1OCC(O)(CO)C1O)CO
TPCN02666,C22H28O7,404.459,COc1cc(CCCO)ccc1OC(C)C(=O)c1cc(OC)c(OC)c(OC)c1
TPCN02667,C22H30O6,390.476,CC(=O)OCC(C)C1CCC2C3C=CC(C(=O)O)=CCC3(C)CCC12C(=O)O
TPCN02668,C25H39NO7,465.587,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6OC(C)=O)C(O)(CC23)C14
TPCN02669,C20H28O4,332.44,CC1=C2C(CC3=C(CCC4C(C)(CO)CCCC34C)C2O)OC1=O
TPCN02670,C40H45NO12,731.795,C=C(C)C1C=CC(OC(=O)c2ccccc2)C23C(O)OC(C)(C(OC(=O)c4cccnc4)C4(OC(C)=O)CC(C)C(OC(=O)CC)C4C2OC(C)=O)C13
TPCN02671,C21H26O5,358.434,COC(=O)C1(C)CC(=O)CC2(C)C1=C(O)C(=O)C13CC4C(CC21)C4(C)C3
TPCN02672,C20H32O6,368.47,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC(O)C1C(=O)OCC1O
TPCN02673,C20H30O2,302.458,C=CC1(C)C=C2C(=O)CC3C(C)(CO)CCCC3(C)C2CC1
TPCN02674,C22H34O6,394.508,CC(=O)OC1CC(C)C(O)(CCC2=CC(=O)OC2O)C2(C)CCCC(C)(C)C12
TPCN02675,C24H38O5,406.563,C=CC(C)(O)CCC1(C)C2=C(C(OC(C)=O)C(OC(C)=O)C1C)C(C)(C)CCC2
TPCN02676,C20H27NO3,329.44,C=C1CC23CC4C5C6(C)CC(O)CC57C(C2C(O)C1C(O)C37)N4C6
TPCN02677,C25H39NO5,433.589,CCN1CC2(C)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6OC(C)=O
TPCN02678,C26H44O9,500.629,C=C1CCC2C(C(C)(C)OC3OC(CO)C(O)C(O)C3O)CCC2(C)C(O)C=C(CO)CCC1O
TPCN02679,C20H30O3,318.457,CC1=CCC=C(C(=O)O)C=CC(C(C)(C)O)CCC(C)=CCC1
TPCN02680,C22H32O4,360.494,CC(=O)OC1C=C(C)C=CC2C3CCC(C(C)C)C3(C(=O)O)CCC12C
TPCN02681,C20H28O3,316.441,C=CC1(C)CCC2C(=CCC3C(C)(C)C(=O)C(O)=CC23C)C1O
TPCN02682,C20H28O4,332.44,CC1=C2C(CC3C4(C)CCC5CC5(C)C4CCC3(O)C2O)OC1=O
TPCN02683,C31H48O12,612.713,C=C1CC23CCC4C(C)(C(=O)OC5OC(COC6OCC(O)(CO)C6O)C(O)C(O)C5O)CCCC4(C)C2CC(O)C1C3
TPCN02684,C36H51N3O10,685.815,CCN1CC2(COC(=O)c3ccccc3NC(=O)CC(C)C(N)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C23)C14
TPCN02685,C30H39NO10,573.639,COCC12C=NC3C4CC1(O)C3(C(OC)CC2O)C1CC2(O)C(OC)CC4(O)C1C2OC(=O)c1ccc(OC)cc1
TPCN02686,C25H37NO8,479.57,CCN1CC2CCC(OC)C34C2C(OC(C)=O)C2(OCOC25CC(OC)C2CC3(O)C5C2O)C14
TPCN02687,C20H30O2,302.458,C=C1CCC(C(=CCCC(C)C)C(=O)O)CC2C(C)=CCC12
TPCN02688,C20H34O3,322.489,CC1(C(O)CO)C=C2CCC3C(C)(CO)CCCC3(C)C2CC1
TPCN02689,C24H37NO7,451.56,COC(=O)C1(C)C(O)CCC2(C)C3CCC(=CC(=O)N(C)CCO)C(C)C3C(O)C(=O)C21
TPCN02690,C20H26O6,362.422,C=C1C(=O)C23CC1CC(O)C2C12COC(O)C1C(C)(C)CCC2OC3=O
TPCN02691,C32H44O11,604.693,C=C(C)C12OC34CCCCCCCC(C)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(C)C2OC(C)=O
TPCN02692,C36H46O18,766.746,COC(=O)C1=C2C(OC3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)CC(O)(C(=O)O)C(C)(CC(OC(C)=O)c3ccoc3)C2CCC1
TPCN02693,C25H37NO7,463.571,CCN1CC2CCC(OC)C34C5CC6C(O)CC7(OCOC7(C(OC(C)=O)C23)C14)C5C6OC
TPCN02694,C26H42O8,482.614,CC1(C(=O)O)CCCC2(C)C3CCC4CC3(CCC12)CC4COC1OC(CO)C(O)C(O)C1O
TPCN02695,C28H38O11,550.601,CC(=O)OCC12C(OC(C)=O)CC(C)C(C)(CC(OC(C)=O)C3=CC(=O)OC3)C1C(OC(C)=O)CCC21CO1
TPCN02696,C30H42O10,562.656,CC=C(C)C(=O)OC1CCC2(CO2)C2(COC(C)=O)C(OC(C)=O)CC(C)C(C)(CC=C(C=O)CC(=O)OC)C12
TPCN02697,C26H36O10,508.564,CC(=O)OCC12C(OC(C)=O)CC(C)C(C)(CC(O)C3=CC(=O)OC3)C1C(OC(C)=O)CCC21CO1
TPCN02698,C31H42O11,590.666,CC=C(C)C(=O)OC(CC1(C)C(C)CC(OC(C)=O)C2(COC(C)=O)C1C(OC(C)=O)CCC21CO1)C1=CC(=O)OC1
TPCN02699,C25H39NO6,449.588,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC7(OCOC7(CC23)C14)C5C6O
TPCN02700,C23H30O6,402.487,CC(=O)CC12C(=O)C(O)=C(C(C)C)C(O)=C1C(=O)C(O)=C1C(C)(C)CCCC12C
TPCN02701,C20H25NO5,359.422,C=C1CC23CC4C5C6(C)CC(=O)CC57C2C(O)C1C(O)C3(O)C7[N+]4([O-])C6
TPCN02702,C31H44N2O6,540.701,CCN1CC2(COC(=O)c3ccccc3N)CCC(OC)C34C5CC6C(OC)CC(OC)(C(CC23)C14)C5C6O
TPCN02703,C26H36O12,540.562,CC(=O)OC1C(O)CC(OC2OC(CO)C(O)C(O)C2O)C2CCC3C(=O)OC(c4ccoc4)CC3(C)C21
TPCN02704,C20H32O4,336.472,CC1(C(=O)CO)C=C2CCC3C(C)(CO)CC(O)CC3(C)C2CC1
TPCN02705,C20H30O3,318.457,C=CC1(C)CC(O)C2(C)C(C1)C(=O)C=C1C(C)(C)CCCC12O
TPCN02706,C21H27NO3,341.451,COC(=O)C1(C)CCCC2(C)c3cc4c(c(C)c3CCC12)CC(=O)N4
TPCN02707,C34H48N2O7,596.765,CCN1CC2(COC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC6C(OC)CC(OC)(C(CC23)C14)C5C6OC
TPCN02708,C34H49NO9,615.764,CCN1CC2(COC)C(O)CC(OC)C34C5CC6C(OC)CC(OC)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14
TPCN02709,C20H30O5,350.455,CC1(C(=O)O)CCCC2(C)C3CCC(O)(C(C)(C)O)C=C3C(=O)CC12
TPCN02710,C27H34O12,550.557,COC(=O)C1=CC(O)CC2C3(C)CC(c4ccoc4)OC(=O)C3=CC(OC3OC(CO)C(O)C(O)C3O)C12C
TPCN02711,C20H36O2,308.506,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C
TPCN02712,C28H46O6,478.67,CC(C)C(=O)OCC12C(O)C(OC(=O)C(C)C)C3(C)C4CCC(C)C4C3C1(O)CCC2C(C)C
TPCN02713,C35H43NO11,653.725,C=C(C)C1C=CC(OC(=O)c2cccnc2)C23COC(C)(C(OC(C)=O)C4(OC(C)=O)CC(C)C(OC(=O)CC)C4C2OC(C)=O)C13
TPCN02714,C42H61NO10,739.947,COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OC4CCC5(C)C6CCC(=CC(=O)NCCO)C(C)C6C(O)C(=O)C5C4C)C(C)C3C(O)C(=O)C12
TPCN02715,C20H28O3,316.441,CC(C)c1cc(O)c2c(c1O)C(=O)CC1C(C)(C)CCCC21C
TPCN02716,C24H35NO4,401.547,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2OC(C)=O
TPCN02717,C32H50O12,626.74,CC(C)c1cc2c(cc1OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C1(C)CCC(O)C(C)(C)C1CC2
TPCN02718,C20H32O3,320.473,C=C(C)C1CCC23CCC(CC2C1(C)CCC(=O)O)C(C)(O)C3
TPCN02719,C21H28O3,328.452,COc1c(C(C)C)ccc2c1CCC1C(C)=C(C(=O)O)CCC21C
TPCN02720,C31H50O11,598.73,C=C(C)C1CCC2(C)C1CC(O)C(C)=CCCC1(C)OC1C2OC1OC(C)C(OC2OCC(O)C(O)C2O)C(O)C1O
TPCN02721,C22H33NO3,359.51,C=C1C2CC(=O)C3(CCC4C5(C)CCCC4(CN(CCO)C5)C3C2)C1O
TPCN02722,C22H26O4,354.446,C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)COC(C)=O
TPCN02723,C26H43NO5,449.632,CCOC12CC(OC)C3CC(C1C3OC)C13C(OC)CCC4(CO)CN(CC)C1C2CC43
TPCN02724,C36H50O10,642.786,C=C(C)C12OC3(C=CC=CCCCCCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(C)=O
TPCN02725,C26H31NO6,453.535,CC1=CCCC2C1(C)C(O)C(OC(=O)c1cccnc1)C(C)(O)C2(C)C=CC1=CC(=O)OC1
TPCN02726,C32H44O12,620.692,C=C(C)C1C=CC(OC(=O)CCC)C2(COC(C)=O)C(OC(C)=O)C3C(OC(C)=O)C(C)CC3(OC(C)=O)C(=O)C(C)(O)C12
TPCN02727,C29H50O2,430.717,CCC(CCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C)C(C)C
TPCN02728,C22H33NO4,375.509,CCN1CC2CCC(OC)C34C2CC(C13)C1(O)CC(OC)C2CC4C1C2=O
TPCN02729,C26H44O8,484.63,CC1(C)CC(OC2OC(CO)C(O)C(O)C2O)CC2(C)C3CCC(C)(C(O)CO)C=C3CCC12
TPCN02730,C26H44O8,484.63,CC1(C(O)CO)C=C2CCC3C(C)(COC4OC(CO)C(O)C(O)C4O)CCCC3(C)C2CC1
TPCN02731,C26H42O9,498.613,CC1(C(O)CO)C=C2CCC3C(C)(C(=O)OC4OC(CO)C(O)C(O)C4O)CCCC3(C)C2CC1
TPCN02732,C20H32O4,336.472,CC1(CO)CC(O)CC2(C)C3=C(CCC12)CC1(C)C(O)COC1C3
TPCN02733,C20H26O5,346.423,CC(=O)CC1=C2C(=O)OC3(C)CCC4C(C(C23)C(C)(O)C1=O)C4(C)C
TPCN02734,C27H34O5,438.564,CC1=CC2C(CCC3(C)OC3C3C(O)C(C)CC3(OC(=O)c3ccccc3)C1=O)C2(C)C
TPCN02735,C20H32O2,304.474,C=CC1(C)C=C2CCC3C(C)(CO)C(O)CCC3(C)C2CC1
TPCN02736,C40H43NO9,681.782,CC1=CC(OC(=O)c2ccccc2)C2(COC(=O)c3ccccc3)CC=C(C(C)(C)OO)C2C(OC(=O)c2cccnc2)CC2(C)OC2CC1
TPCN02737,C25H33NO4,411.542,C=C1CC23CC4C5C6(C)CN4C4C2C(OC(=O)C(C)CC)C1C(O)C3C45CCC6=O
TPCN02738,C20H28O2,300.442,CC(C)c1cc2c(c(O)c1O)CC1=CCCC(C)(C)C1CC2
TPCN02739,C31H43NO8,557.684,C=C1CC23CC(O)C4(O)C5(C)CC(O)CC46C(C2C1C(OC(=O)C(C)=CC)C(OC(=O)C(C)=CCO)C36)N(C)C5
TPCN02740,C20H30O6,366.454,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C=CC1(O)C(=O)OCC1O
TPCN02741,C21H26O6,374.433,COC(=O)C12CCCC34C(OC5c6occc6C(C)C(CCC13)C54)OC2O
TPCN02742,C40H41NO11,711.764,C=C1CC23CC4C5C6(C)CN4C4C5(C(OC(C)=O)C(OC(=O)c5ccccc5)C6OC(C)=O)C2C(OC(C)=O)C1C(OC(=O)c1ccccc1)C43O
TPCN02743,C21H28O5,360.45,COC1c2cc(C(C)C)c(O)c(O)c2C23CCCC(C)(C)C2C1OC3=O
TPCN02744,C22H34O5,378.509,CC(=O)OCC1(O)CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3
TPCN02745,C32H54O11,614.773,CC(=CCO)CCC1(C)C(C)CC(OC2OC(C)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C2(C)C(C)=CCCC12
TPCN02746,C28H37NO7,499.604,C=C1C2CC3C(CC2=O)(C2CC4C5(C)CN(C)C(O2)C43CC(=O)C5OC(C)=O)C1OC(=O)C(C)CC
TPCN02747,C45H47NO15,841.863,C=C1C2C(OC(=O)c3ccccc3)C3C4N(C)C5C(OC(C)=O)C3(C1OC(C)=O)C(C2OC(C)=O)C41C(OC(C)=O)C(OC(=O)c2ccccc2)C(OC(C)=O)C(C)(C=O)C51
TPCN02748,C20H30O5,350.455,C=C1C(O)CC2C(C)(CO)C(O)CCC2(C)C1CCC1=CCOC1=O
TPCN02749,C34H47NO12,661.745,CCN1CC2(COC)C(O)C(O)C(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
TPCN02750,C20H28O2,300.442,C=C1CCC2C(C)(C)CCCC2(C)C1C=CC1=CCOC1=O
TPCN02751,C26H42O7,466.615,CC1=CC23CCC4C(C)(C)CC(O)CC4(C)C2CCC1C3OC1OC(CO)C(O)C(O)C1O
TPCN02752,C26H42O11,530.611,CC1(C(=O)OC2OC(CO)C(O)C(O)C2O)CCCC2(C)C1C(O)C(O)C13CC(CCC21)C(O)(CO)C3
TPCN02753,C19H20O6,344.363,CC1C(O)C2OC(=O)C3=C2C(CCC3)C12CC(c1ccoc1)OC2=O
TPCN02754,C22H36O5,380.525,CC(=O)OCC(O)C1(C)C=C2CCC3C(C)(CO)CC(O)CC3(C)C2CC1
TPCN02755,C33H46N2O7,582.738,CCN1CC2(COC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6OC
TPCN02756,C22H36O3,348.527,CC(=O)OC1CC2(C)C(C(C)C)CCC2C2C=CC(C)(O)CCC12C
TPCN02757,C19H24O6,348.395,CC1CC(O)C2=C(CO)CC(O)CC2C12CC(c1ccoc1)OC2=O
TPCN02758,C40H50O5,610.835,CC(C)C1=CC2=CC3Oc4c(c(C(C)C)cc5c4C4(C)CCCC(C)(C)C4=CC5=O)OC34C(C)(C)CCCC4(C)C2=C(O)C1=O
TPCN02759,C33H47NO9,601.737,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6OC(=O)c5ccc(OC)c(OC)c5)C(C(OC)C23)C14
TPCN02760,C22H32O6,392.492,C=C1C(=O)C23C(O)CC4C(C)(C)C(OC(C)=O)CC(O)C4(C)C2CCC1C3O
TPCN02761,C20H32O6,368.47,CC1(C(=O)O)CCCC2(C)C1C(O)C(O)C13CC(CCC21)C(O)(CO)C3
TPCN02762,C37H46O18,778.757,COC(=O)C1=C(OC(C)=O)CCC2C1(C)C(OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O)CC1(O)C(=O)OC(c3ccoc3)CC21C
TPCN02763,C20H26O7,378.421,CC1CC(O)C23COC2(CO)CC(O)CC3C12CC(c1ccoc1)OC2=O
TPCN02764,C24H39NO7,453.576,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(O)(C(CC23)C14)C5C6O
TPCN02765,C24H37NO8,467.559,COC1CC2(O)C3C(OC)C1CC3C13C(OC)CCC4(CO)CN(C=O)C1C2(O)C(OC)C43
TPCN02766,C20H26O4,330.424,CC1(C)CCCC2(C)C1CCC13OC1C1=C(CO)C(=O)OC1=CC23
TPCN02767,C24H35NO7,449.544,CCN1CC23OC2CC(O)C24C1C(CC32)C1(OC(C)=O)CC(OC)C2CC4C1(O)C2OC
TPCN02768,C31H43NO8,557.684,C=C1CC23C(O)C(O)C4(O)C5(C)CC(O)CC46C(C2C1C(OC(=O)C(C)=CC)C(OC(=O)C(C)=CC)C36)N(C)C5
TPCN02769,C27H38O11,538.59,C=C1CC23CC1(O)CCC2C1(C)CCC(OC2OC(CO)C(O)C(O)C2O)C(C)(C(=O)OC)C1=C(O)C3=O
TPCN02770,C20H34O3,322.489,CC1(C)C(O)CCC2(C)C3CCC4CC3(CCC12)CC4(O)CO
TPCN02771,C23H35NO7,437.533,C=CC1(O)CN(CC)C2C3(C=O)C4CC5C(OC)CC(O)(C4C5OC)C2(O)C(OC)C13
