TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN00037,C46H54O21,942.917,CC12CC(=O)C3CC1(OC1OC(COC(=O)c4ccccc4)C(O)C(O)C1O)C3(COC(=O)c1ccccc1)C(OCC1OC(OC34CC5C6(O)CC3(C)OC(O6)C54CO)C(O)C(O)C1O)O2
TPCN00038,C25H33NO11,523.535,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(O)cc21
TPCN00039,C10H18O5,218.249,CC(C)(O)C(O)CC1OC(=O)CC1(C)O
TPCN00040,C20H24N2O2,324.424,O=C(O)C1CC23CCCN4CCC5(c6ccccc6NC15CC2)C43
TPCN00041,C25H31NO10,505.52,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)N3CCc4cc(OC)c(O)cc4C3CC21
TPCN00042,C16H28O7,332.393,CC(C)=CCC(O)C(C)=CCOC1OC(CO)C(O)C(O)C1O
TPCN00043,C16H24O10,376.358,CC1C(O)CC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21
TPCN00044,C15H24O7,316.35,C=CC(C)(CCC=C(C)C(=O)O)OC1OCC(O)C(O)C1O
TPCN00045,C10H14O4,198.218,CC1=CC(=O)OC12CC(O)C(C)(C)O2
TPCN00046,C10H16O4,200.234,CC1=CC(=O)OC1CC(O)C(C)(C)O
TPCN00047,C44H64O23,960.973,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC1C(C)CC(OC(=O)CC2C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C2=CC)C1C(C)CO
TPCN00048,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC(O)CC1CC=CC(=O)O1)C2C=Cc1ccccc1
TPCN00049,C21H22N2O4,366.417,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5(C=O)C(=O)OC
TPCN00050,C20H26N2O2,326.44,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O
TPCN00051,C26H40O10,512.596,C=CC(C)(CCC=C(C)C(=O)O)OC1OC(CO)C(OC(C)(C=C)CCC=C(C)C(=O)O)C(O)C1O
TPCN00052,C44H64O23,960.973,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC(C)C1CC(OC(=O)CC2C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C2=CC)C(C)C1CO
TPCN00053,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC(O)CC1CC=CC(=O)O1)C2C=Cc1ccccc1
TPCN00054,C21H26N2O3,354.45,CCC1CN(C)C2Cc3c([nH]c4ccccc34)C(=O)CC1C2C(=O)OC
TPCN00055,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC1CC3CC(CC(=O)O3)O1)C2C=Cc1ccccc1
TPCN00056,C22H29N2O4+,385.484,CC=C1C[N+]2(C)CCC34c5ccccc5NC32C(O)CC1C4(CO)C(=O)OC
TPCN00057,C11H13NO3,207.229,COC(=O)c1cncc2c1CC(O)C2C
TPCN00058,C26H40O9,496.597,C=CC(C)(CCC=C(C)C(=O)O)OC1OC(C)C(OC(C)(C=C)CCC=C(C)C(=O)O)C(O)C1O
TPCN00059,C11H20O4,216.277,CC(C)C1C(C(=O)O)CC(C)C(O)C1O
TPCN00060,C23H28O11,480.466,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O
TPCN00061,C19H20O4,312.365,C=C(C)CC(=O)C=C(C)CCOc1ccc2ccc(=O)oc2c1
TPCN00062,C27H35NO12,565.572,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1c2cc(O)c(O)cc2CCN1C(C)=O
TPCN00063,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC1CC3CC(CC(=O)O3)O1)C2C=Cc1ccccc1
TPCN00064,C44H58N2O18,902.944,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CCN1CCc2c([nH]c3ccccc23)C1CC1C(C(=O)OC)=COC(OC2OC(CO)C(O)C(O)C2O)C1C=C
TPCN00065,C16H24O7,328.361,CC(CO)c1ccc(COC2OC(CO)C(O)C(O)C2O)cc1
TPCN00066,C21H22N2O5,382.416,CCC12CC(C(=O)OC)=C3Nc4cc(O)ccc4C34CCN(C(=O)C3OC31)C42
TPCN00067,C19H22O4,314.381,CC(C)=CC=CC(C)(O)CCOc1ccc2ccc(=O)oc2c1
TPCN00068,C24H29NO10,491.493,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)N3CCc4cc(O)c(O)cc4C3CC21
TPCN00069,C27H34O3,406.566,CC1(C)C(=O)C2=C(OC3(CCC4CC3C4(C)C)CC2c2ccccc2)C(C)(C)C1=O
TPCN00070,C23H26N2O5,410.47,COC(=O)N1c2ccccc2C23C4CN5CCCC(CCC12C(=O)OC)(CC4=O)C53
TPCN00071,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC(O)CC1CC=CC(=O)O1)C2C=Cc1ccccc1
TPCN00072,C29H36O4,448.603,CC(C)C1C=CC2(CC1)CC(C(=O)CC1CC3CC(CC(=O)O3)O1)C2C=Cc1ccccc1
TPCN00073,C20H24N2O4,356.422,COC(=O)C1=C2Nc3c(O)cccc3C23CCN2CC(C(C)O)C1CC23
TPCN00074,C27H34O3,406.566,CC1(C)C(=O)C2=C(OC3(CCC4CC3C4(C)C)CC2c2ccccc2)C(C)(C)C1=O
TPCN00075,C19H22O4,314.381,CC(=CC=CC(C)(C)O)CCOc1ccc2ccc(=O)oc2c1
TPCN00076,C26H38O12,542.578,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCC(C)C3C(O)CC(C)C3COC(=O)CC21
TPCN00077,C21H25ClN2O2,372.896,CC=C1C[N+]2(C)CCc3c4n(c5ccccc35)C(C(=O)OC)C1CC42.[Cl-]
TPCN00078,C28H37N2O10+,561.608,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1c2[nH]c3ccccc3c2CC[N+]1(C)O
TPCN00079,C28H37N2O10+,561.608,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1c2[nH]c3ccccc3c2CC[N+]1(C)O
TPCN00080,C19H18O7,358.346,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1
TPCN00081,C23H28N2O4,396.487,C=CC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC
TPCN00082,C25H38O14,562.565,C=C(COC1OC(CO)C(O)C(O)C1OC1OC(COC(=O)CC(=O)O)C(O)C(O)C1O)C1CC=C(C)CC1
TPCN00083,C26H30N2O9,514.531,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)N3CCc4c([nH]c5ccc(O)cc45)C3CC21
TPCN00084,C20H24O4,328.408,COc1cc2ccc(=O)oc2cc1OCC=C(C)CCC=C(C)C
TPCN00085,C25H32O12,524.519,O=CC1(C=COC2OC(CO)C(O)C(O)C2O)CCC(COC(=O)C=Cc2ccc(O)c(O)c2)CC1O
TPCN00086,C16H26O7,330.377,C=C(CCCC(C)CO)C1COC2OC(CO)C(O)C(=O)C21O
TPCN00087,C25H33NO11,523.535,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(O)c(OC)cc21
TPCN00088,C30H48O3,456.711,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
TPCN00089,C44H64O23,960.973,CC=C1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCC(C)C1CC(O)C(C)C1COC(=O)CC1C(C(=O)OC)=COC(OC2OC(CO)C(O)C(O)C2O)C1=CC
TPCN00090,C24H28N2O7,456.495,COC(=O)N1c2c(ccc3c2OCO3)C23CCN4CCCC5(CCC12C(O)(C(=O)OC)C5)C43
TPCN00091,C21H26N2O3,354.45,COC(=O)C1CC23CCC[N+]4([O-])CCC5(c6ccccc6NC15CC2)C34
TPCN00092,C30H32O13,600.573,CC12CC3(O)OC(O1)C1(COC(=O)c4ccc(O)cc4)C3CC21OC1OC(COC(=O)c2ccccc2)C(O)C(O)C1O
TPCN00093,C21H26N2O2,338.451,CCC1CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13
TPCN00094,C19H20O4,312.365,CC(C)=CC(=O)CC(C)=CCOc1ccc2ccc(=O)oc2c1
TPCN00095,C44H72O20,921.04,CC(=CCO)CCC=C(C)C(=O)OC1C(OC2C(O)C(C)OC(OCC=C(C)CCC=C(C)COC3OC(C)C(O)C(O)C3O)C2O)OC(C)C(O)C1OC1OC(C)C(O)C(O)C1O
TPCN00096,C15H18O5,278.304,C=C1C(=O)OC2C1CCC(C)(O)C13C=CC(C)(OO1)C23
TPCN00097,C27H32N2O9,528.558,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C3NCCc4c3[nH]c3ccccc43)=CCC12
TPCN00098,C20H18N2O3,334.375,CC1OC=C(C(=O)[O-])C2Cc3c4[nH]c5ccccc5c4cc[n+]3CC12
TPCN00099,C26H42O13,562.609,C=CC(C)(CCC=C(C)C(=O)O)OC1OCC(OC(=O)C(C)CC)C(OC2OC(CO)C(O)C(O)C2O)C1O
